event,year,level,category,author,title,url,video
2013-06-20,2013,Intermediate,Best Practices/Patterns,Lennart Regebro,"Blame it on Caesar: What you need to know about dates, times and time zones",https://us.pycon.org/2013/schedule/presentation/140/,http://pyvideo.org/video/1765/blame-it-on-caesar-what-you-need-to-know-about-d
2013-06-20,2013,Experienced,Python Internals,Benjamin Peterson,The Guts of Unicode in Python,https://us.pycon.org/2013/schedule/presentation/45/,http://pyvideo.org/video/1768/the-guts-of-unicode-in-python
2013-06-08,2013,Novice,Big Data,Erik Rose,Elasticsearch (Part 1): Indexing and Querying,https://us.pycon.org/2013/schedule/presentation/100/,http://pyvideo.org/video/1784/elasticsearch-part-1-indexing-and-querying
2013-06-20,2013,Experienced,Big Data,Titus Brown,Awesome Big Data Algorithms,https://us.pycon.org/2013/schedule/presentation/53/,http://pyvideo.org/video/1781/awesome-big-data-algorithms
2013-06-08,2013,Novice,Education,Mel Chua,EduPsych Theory for Python Hackers: A Whirlwind Overview,https://us.pycon.org/2013/schedule/presentation/98/,http://pyvideo.org/video/1783/edupsych-theory-for-python-hackers-a-whirlwind-o
2013-06-20,2013,Intermediate,Cloud,Nate Aune,Deploy your Python app in 5 min with a PaaS,https://us.pycon.org/2013/schedule/presentation/118/,http://pyvideo.org/video/1776/deploy-your-python-app-in-5-min-with-a-paas
2013-06-08,2013,Novice,Community,Brian K. Jones,"If You Code, You Should Write",https://us.pycon.org/2013/schedule/presentation/124/,http://pyvideo.org/video/1786/if-you-code-you-should-write
2013-06-08,2013,Novice,Best Practices/Patterns,Raymond Hettinger,"Transforming Code into Beautiful, Idiomatic Python",https://us.pycon.org/2013/schedule/presentation/126/,http://pyvideo.org/video/1780/transforming-code-into-beautiful-idiomatic-pytho
2013-06-20,2013,Intermediate,Useful Libraries,Matt Chaput,"Whoosh, the open-source Python search library",https://us.pycon.org/2013/schedule/presentation/60/,http://pyvideo.org/video/1788/whoosh-the-open-source-python-search-library
2013-06-08,2013,Novice,Useful Libraries,Katherine Scott,SimpleCV - Computer Vision using Python,https://us.pycon.org/2013/schedule/presentation/65/,http://pyvideo.org/video/1796/simplecv-computer-vision-using-python
